제품그룹,제품군,세부제품,펫네임,모델코드,모델요약,출시일,색상코드,부품명,세부항목,기타,PART_NO,SPEC,상세스펙,표준품명,총예상 수리비(미반납가),총예상 수리비(반납가),Content
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NLBEKOO,SM-S921,24년 1월,(LB) LIGHT BLUE,메인보드,256GB,-,GH82-33424N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB",MAIN PCB,"474,000","474,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NLBEKOO, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (LB) LIGHT BLUE, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-33424N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 474000, 총예상 수리비(반납가) : 474000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NLBFKOO,SM-S921,24년 1월,(LB) LIGHT BLUE,메인보드,512GB,-,GH82-33628N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB",MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NLBFKOO, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (LB) LIGHT BLUE, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-33628N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NLGEKOO,SM-S921,24년 1월,(LG) LIGHT GREEN,메인보드,256GB,-,GH82-33424N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB",MAIN PCB,"474,000","474,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NLGEKOO, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (LG) LIGHT GREEN, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-33424N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 474000, 총예상 수리비(반납가) : 474000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NLGFKOO,SM-S921,24년 1월,(LG) LIGHT GREEN,메인보드,512GB,-,GH82-33628N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB",MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NLGFKOO, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (LG) LIGHT GREEN, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-33628N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NZAEKOC,SM-S921,24년 1월,(ZA) GRAY,메인보드,256GB,-,GH82-33424N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB",MAIN PCB,"474,000","474,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NZAEKOC, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-33424N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 474000, 총예상 수리비(반납가) : 474000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NZAEKOD,SM-S921,24년 1월,(ZA) GRAY,메인보드,256GB,-,GH82-33424N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB",MAIN PCB,"474,000","474,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NZAEKOD, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-33424N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 474000, 총예상 수리비(반납가) : 474000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NZAEKOO,SM-S921,24년 1월,(ZA) GRAY,메인보드,256GB,-,GH82-33424N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB",MAIN PCB,"474,000","474,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NZAEKOO, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 256GB, 기타 : , PART_NO : GH82-33424N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+256GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 474000, 총예상 수리비(반납가) : 474000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NZAFKOC,SM-S921,24년 1월,(ZA) GRAY,메인보드,512GB,-,GH82-33628N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB",MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NZAFKOC, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-33628N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NZAFKOD,SM-S921,24년 1월,(ZA) GRAY,메인보드,512GB,-,GH82-33628N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB",MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NZAFKOD, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-33628N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
THS,스마트폰,S 시리즈,갤럭시 S24,SM-S921NZAFKOO,SM-S921,24년 1월,(ZA) GRAY,메인보드,512GB,-,GH82-33628N,"SM-S921N,DOM","SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB",MAIN PCB,"497,000","497,000","제품그룹 : THS, 제품군 : 스마트폰, 세부제품 : S 시리즈, 펫네임 : 갤럭시 S24, 모델코드 : SM-S921NZAFKOO, 모델요약 : SM-S921, 출시일 : 24년 1월, 색상코드 : (ZA) GRAY, 부품명 : 메인보드, 세부항목 : 512GB, 기타 : , PART_NO : GH82-33628N, SPEC : SM-S921N,DOM, 상세스펙 : SVC PBA-MAIN(KOR/KOO/DS),SM-S921,8+512GB, 표준품명 : MAIN PCB, 총예상 수리비(미반납가) : 497000, 총예상 수리비(반납가) : 497000"
